,Team_x,Athlete,Year
1715,JPN,Eiko Takahashi,1964
1715,JPN,Michiko Kihara,1964
1716,GBR,Jill Rosemary Norfolk,1964
1716,GBR,Elizabeth Carole Long,1964
1716,GBR,Mary Anne Cotterill,1964
1716,GBR,Stella Marian M. Mitchell,1964
1716,GBR,Linda Kay Ludgrove,1964
1717,CAN,Helen Louise Kennedy,1964
1717,CAN,Marion Beverly Lay,1964
1717,CAN,Mary Pauline Stewart,1964
1717,CAN,Eileen Weir,1964
1718,GER,Bärbel Grimmer,1964
1718,GER,Ingrid Schmidt,1964
1718,GER,Heike Hustede-Nagel,1964
1718,GER,Martina Grunert,1964
1719,HUN,Csilla Madarasz-Bajnogel-Dobai,1964
1719,HUN,Maria Balla-Lantos,1964
1719,HUN,Marta Egervary,1964
1719,HUN,Zsuzsa Kovacs,1964
1720,USA,Lynn Edythe Burke,1960
1721,GBR,Natalie Alwyne Steward,1960
1722,JPN,Satoko Tanaka,1960
1723,RSA,Laura Ranwell,1960
1724,FRA,Rose Piacentini,1960
1725,GBR,Sylvia Anne Lewis,1960
1726,NED,Maria (Ria) Martina Van Velsen,1960
1727,FRA,Nadine Delache,1960
1728,USA,Carolyn Jane Schuler,1960
1729,NED,Marianne Yvonne Heemskerk,1960
1730,AUS,Janice Andrew,1960
1731,GBR,Sheila Watt,1960
1732,NED,Aartje Johanna Voorbij,1960
1733,URS,Zinaida Belovetskaya,1960
1734,SWE,Kristina Larsson,1960
1735,USA,Carolyn Virginia Wood,1960
1736,AUS,Dawn Fraser,1960
1737,USA,Chris Von Saltza,1960
1738,GBR,Natalie Alwyne Steward,1960
1739,USA,Carolyn Virginia Wood,1960
1740,HUN,Csilla Madarasz-Bajnogel-Dobai,1960
1741,NED,Erica Georgine Terpstra,1960
1742,NED,Cocki Van Engelsdorp Gastelaars,1960
1743,CAN,Mary Pauline Stewart,1960
1744,GBR,Anita Lonsbrough,1960
1745,GER,Wiltrud Urselmann,1960
1746,GER,Barbara Göbel,1960
1747,NED,Adelaide Henriette (Ada) Den Haan,1960
1748,NED,Margretta (Gretta) Kok,1960
1749,USA,Anna Kindel Warner,1960
1750,USA,Patricia Kempner,1960
1751,DEN,Dorrit Gosmer Kristensen,1960
1752,USA,Chris Von Saltza,1960
1753,SWE,Jane Cederqvist,1960
1754,NED,Catharina (Tineke) Lagerberg,1960
1755,AUS,Ilsa Konrads,1960
1756,AUS,Dawn Fraser,1960
1757,GBR,Nancy Rae,1960
1758,NED,Cornelia Hendrika Schimmel,1960
1759,SWE,Birgitta Segerstrom,1960
1760,USA,Shirley Anne Stobs,1960
1760,USA,Chris Von Saltza,1960
1760,USA,Susan Elizabeth Doerr,1960
1760,USA,Joan Arlene Spillane,1960
1760,USA,Carolyn Virginia Wood,1960
1760,USA,Mary (Molly) Rae Botkin,1960
1760,USA,Donna Elizabeth De Varona,1960
1760,USA,Sylvia Eliina Ruuska,1960
1761,AUS,Alva Colquhoun,1960
1761,AUS,Dawn Fraser,1960
1761,AUS,Sandra Anne Morgan,1960
1761,AUS,Ruth Rhonda Everuss,1960
1761,AUS,Lorraine Joyce Crapp,1960
1761,AUS,Ilsa Konrads,1960
1762,GER,Gisela Weiss,1960
1762,GER,Christel Steffin,1960
1762,GER,Heidi Pechstein,1960
1762,GER,Ursula Brunner,1960
1763,HUN,Maria Frank,1960
1763,HUN,Katalin Boros,1960
1763,HUN,Csilla Madarasz-Bajnogel-Dobai,1960
1764,GBR,Judith V. Samuel,1960
1764,GBR,Christine Robertson Harris,1960
1764,GBR,Natalie Alwyne Steward,1960
1764,GBR,Beryl O. Noakes,1960
1765,SWE,Inger Thorngren,1960
1765,SWE,Kristina Larsson,1960
1765,SWE,Birgitta Segerstrom,1960
1765,SWE,Karin Larsson,1960
1766,ITA,Anna Maria Cecchi,1960
1766,ITA,Rosanna Contardo,1960
1766,ITA,Paola Saini,1960
1766,ITA,Daniela Beneck,1960
1766,ITA,Maria Cristina Pacifici,1960
1767,SUN,Ulvi Voog,1960
1767,SUN,Galina Sosnova,1960
1767,SUN,Marina Shamal,1960
1767,SUN,Irina Lyakhovskaya,1960
1768,USA,Joan Arlene Spillane,1960
1768,USA,Carolyn Jane Schuler,1960
1768,USA,Anna Kindel Warner,1960
1768,USA,Chris Von Saltza,1960
1768,USA,Lynn Edythe Burke,1960
1768,USA,Patricia Kempner,1960
1768,USA,Carolyn Virginia Wood,1960
1769,AUS,Ilsa Konrads,1960
1769,AUS,Dawn Fraser,1960
1769,AUS,Rosemary Lassig,1960
1769,AUS,Maryleen Joy Wilson,1960
1769,AUS,Janice Andrew,1960
1770,GER,Bärbel Fuhrmann,1960
1770,GER,Ingrid Schmidt,1960
1770,GER,Ursula Brunner,1960
1770,GER,Ursula Küper,1960
1771,NLD,Marianne Yvonne Heemskerk,1960
1771,NLD,Erica Georgine Terpstra,1960
1771,NLD,Maria (Ria) Martina Van Velsen,1960
1771,NLD,Adelaide Henriette (Ada) Den Haan,1960
1771,NLD,Catharina (Tineke) Lagerberg,1960
1772,GBR,Jean Oldroyd,1960
1772,GBR,Sylvia Anne Lewis,1960
1772,GBR,Anita Lonsbrough,1960
1772,GBR,Natalie Alwyne Steward,1960
1772,GBR,Sheila Watt,1960
1773,HUN,Magdolna David,1960
1773,HUN,Klara Killerman Bartos,1960
1773,HUN,Csilla Madarasz-Bajnogel-Dobai,1960
1773,HUN,Marta Egervary,1960
1774,JPN,Yoshiko Takamatsu,1960
1774,JPN,Yoshiko Sato,1960
1774,JPN,Satoko Tanaka,1960
1774,JPN,Shizue Miyabe,1960
1775,SUN,Marina Shamal,1960
1775,SUN,Lyudmila Korobova,1960
1775,SUN,Zinaida Belovetskaya,1960
1775,SUN,Valentina Poznyak,1960
1775,SUN,Larisa Viktorova,1960
1776,GBR,Judith Brenda Grinham,1956
1777,USA,Carin Alice Cone,1956
1778,GBR,Margaret Edwards,1956
1779,GER,Helga Schmidt-Neuber,1956
1780,USA,Maureen Elizabeth Murphy,1956
1781,GBR,Julie Hoyle,1956
1782,CAN,Sara Barber-Jenkins,1956
1783,AUS,Gerganiya Beckitt,1956
1784,USA,Shelley Isabel Mann,1956
1785,USA,Nancy Jane Ramey,1956
1786,USA,Mary Jane Sears,1956
1787,HUN,Mária Littomeritzky,1956
1788,AUS,Beverly Bainbridge,1956
1789,GER,Jutta Langenau,1956
1790,CAN,Elizabeth Whittall,1956
1791,CAN,Sara Barber-Jenkins,1956
1792,AUS,Dawn Fraser,1956
1793,AUS,Lorraine Joyce Crapp,1956
1794,AUS,Faith Yvonne Leech,1956
1795,USA,Joan Ann Rosazza,1956
1796,CAN,Virginia Grant,1956
1797,USA,Shelley Isabel Mann,1956
1798,NZL,Marrion Roe,1956
1799,RSA,Natalie Ann Myburgh,1956
1800,GER,Ursula Happe-Krey,1956
1801,HUN,Eva Szekely,1956
1802,GER,Eva-Maria Ten Elsen,1956
1803,YUG,Vinka Jeričević,1956
1804,HUN,Klara Killerman Bartos,1956
1805,GBR,Helen Orr Gordon-Mckay,1956
1806,USA,Mary Jane Sears,1956
1807,GBR,Christine Loraine Gosden,1956
1808,AUS,Lorraine Joyce Crapp,1956
1809,AUS,Dawn Fraser,1956
1810,USA,Sylvia Eliina Ruuska,1956
1811,USA,Marley Lynn Shriver,1956
1812,HUN,Rypszima Szekely,1956
1813,AUS,Sandra Anne Morgan,1956
1814,FRA,Heda Frost,1956
1815,HUN,Valeria Gyenge,1956
1816,AUS,Faith Yvonne Leech,1956
1816,AUS,Elizabeth Fraser,1956
1816,AUS,Lorraine Joyce Crapp,1956
1816,AUS,Dawn Fraser,1956
1816,AUS,Alva Colquhoun,1956
1816,AUS,Sandra Anne Morgan,1956
1817,USA,Sylvia Eliina Ruuska,1956
1817,USA,Joan Ann Rosazza,1956
1817,USA,Shelley Isabel Mann,1956
1817,USA,Nancy Joan Simons,1956
1817,USA,Marley Lynn Shriver,1956
1817,USA,Elizabeth Mullen Brey,1956
1817,USA,Kathryn Elizabeth Knapp,1956
1818,ZAF,Moira Abernethy,1956
1818,ZAF,Natalie Ann Myburgh,1956
1818,ZAF,Jeanette Evelyn Myburgh,1956
1818,ZAF,Susan Elizabeth Roberts,1956
1819,GER,Ingrid Kunzel,1956
1819,GER,Katharine (Kathi) Jansen,1956
1819,GER,Christel Steffin,1956
1819,GER,Hertha Haase,1956
1819,GER,Birgit Klomp,1956
1820,CAN,Elizabeth Whittall,1956
1820,CAN,Gladys Jean Priesley-Watson,1956
1820,CAN,Sara Barber-Jenkins,1956
1821,SWE,Anita Andersson,1956
1821,SWE,Karin Larsson,1956
1821,SWE,Anita Hellstrom,1956
1821,SWE,Birgitta Wangberg,1956
1821,SWE,Kate Jobson,1956
1822,HUN,Valeria Gyenge,1956
1822,HUN,Eva Szekely,1956
1822,HUN,Judith Temes,1956
1822,HUN,Katalin Szöke,1956
1823,GBR,Margaret Therese Girvan,1956
1823,GBR,Margaret Edwards,1956
1823,GBR,Fearne Ewart,1956
1823,GBR,Judith Brenda Grinham,1956
1823,GBR,Frances Hogben,1956
1824,RSA,Joan Cynthia Harrison,1952
1825,NED,Geertje Wielema,1952
1826,NZL,Jean Stewart,1952
1827,NED,Johanna Catharina De Korte,1952
1828,USA,Barbara Lynn Stark,1952
1829,GER,Gertrud Herrbruck,1952
1830,GBR,Margaret Gibson Mcdowell,1952
1831,NED,Hendrika Anna-Maria Van Der Horst,1952
1832,HUN,Katalin Szöke,1952
1833,NED,Johanna Maria Termeulen,1952
1834,HUN,Judith Temes,1952
1835,RSA,Joan Cynthia Harrison,1952
1836,USA,Joan Alderson,1952
1837,NED,Irma Heijting-Schuhmacher,1952
1838,USA,Mary Louise Stepan,1952
1839,GBR,Angela Mary Barnwell,1952
1840,HUN,Eva Szekely,1952
1841,HUN,Eva Novak-Gerard,1952
1842,GBR,Helen Orr Gordon-Mckay,1952
1843,HUN,Klara Killerman Bartos,1952
1844,DEN,Jytte Solveig Hansen,1952
1845,URS,Mariya Havrysh,1952
1846,SWE,Ulla-Britt Eklund,1952
1847,NED,Petronella Fredrika Garritsen,1952
1848,HUN,Valeria Gyenge,1952
1849,HUN,Eva Novak-Gerard,1952
1850,USA,Evelyn Tokue Kawamoto,1952
1851,USA,Carolyn Virginia Green,1952
1852,DEN,Ragnild Tove Hveger,1952
1853,HUN,Eva Szekely,1952
1854,ARG,Ana Maria Schultz,1952
1855,DEN,Greta Marie Andersen,1952
1856,HUN,Judith Temes,1952
1856,HUN,Eva Novak-Gerard,1952
1856,HUN,Eva Szekely,1952
1856,HUN,Katalin Szöke,1952
1856,HUN,Ilona Novak,1952
1857,NLD,Hendrika Anna-Maria Van Der Horst,1952
1857,NLD,Geertje Wielema,1952
1857,NLD,Marie-Louise Jean Linssen-Vaessen,1952
1857,NLD,Cornelia (Koosje) Van Voorn,1952
1857,NLD,Johanna Maria Termeulen,1952
1857,NLD,Irma Heijting-Schuhmacher,1952
1858,USA,Evelyn Tokue Kawamoto,1952
1858,USA,Mary Louise Stepan,1952
1858,USA,Joan Alderson,1952
1858,USA,Judith Theresa Roberts,1952
1859,DEN,Ragnild Tove Hveger,1952
1859,DEN,Rita Larsen,1952
1859,DEN,Greta Marie Andersen,1952
1859,DEN,Gerda Lilly Olsen,1952
1859,DEN,Mette Ove Petersen,1952
1860,GBR,Jean Annabel Botham,1952
1860,GBR,Phyllis Margaret Linton,1952
1860,GBR,Grace Wood,1952
1860,GBR,Lillian Preece,1952
1860,GBR,Angela Mary Barnwell,1952
1860,GBR,Daphne M. Wilkinson,1952
1861,SWE,Ingegärd Fredin,1952
1861,SWE,Anita Andersson,1952
1861,SWE,Marianne Lundquist,1952
1861,SWE,Maud Berglund,1952
1861,SWE,Ulla-Britt Eklund,1952
1862,GER,Elisabeth Rechlin,1952
1862,GER,Ursula Happe-Krey,1952
1862,GER,Katharine (Kathi) Jansen,1952
1862,GER,Gisela Arendt-Jacobs,1952
1862,GER,Wera Schäferkordt,1952
1863,FRA,Gaby Tanguy,1952
1863,FRA,Marysel Morandini,1952
1863,FRA,Ginette Jany-Sendral,1952
1863,FRA,Josette Arene,1952
1863,FRA,Odile Vouaux,1952
1863,FRA,Colette Thomas,1952
1864,DEN,Karen Margrethe Harup,1948
1865,USA,Suzanne Winona Zimmerman,1948
1866,AUS,Judith Joy Davies,1948
1867,HUN,Ilona Novak,1948
1868,NED,Hendrika Anna-Maria Van Der Horst,1948
1869,NED,Dirkje Van Ekris,1948
1870,USA,Muriel Jane Mellon,1948
1871,NED,Greetje Gaillard,1948
1872,DEN,Greta Marie Andersen,1948
1873,USA,Ann Elisabeth Curtis,1948
1874,NED,Marie-Louise Jean Linssen-Vaessen,1948
1875,DEN,Karen Margrethe Harup,1948
1876,SWE,Ingegärd Fredin,1948
1877,NED,Irma Heijting-Schuhmacher,1948
1878,SWE,Elisabeth Ahlgren,1948
1879,DEN,Fritze Wulf Carstensen,1948
1880,NED,Petronella (Nel) Van Vliet,1948
1881,AUS,Beatrice Nancy Lyons,1948
1882,HUN,Eva Novak-Gerard,1948
1883,HUN,Eva Szekely,1948
1884,NED,Adriana Elisabeth De Groot,1948
1885,GBR,Elizabeth Mabel Church,1948
1886,NED,Antonia Johanna Hom,1948
1887,DEN,Jytte Solveig Hansen,1948
1888,USA,Ann Elisabeth Curtis,1948
1889,DEN,Karen Margrethe Harup,1948
1890,GBR,Catherine Gibson,1948
1891,BEL,Fernande Caroen,1948
1892,USA,Brenda Merserau Helser,1948
1893,BRA,Piedade De Azevedo Coutinho,1948
1894,DEN,Fritze Wulf Carstensen,1948
1895,USA,Nancy Merki Lees,1948
1896,USA,Thelma H. Kalama,1948
1896,USA,Ann Elisabeth Curtis,1948
1896,USA,Brenda Merserau Helser,1948
1896,USA,Marie Louise Corridon,1948
1897,DEN,Greta Marie Andersen,1948
1897,DEN,Fritze Wulf Carstensen,1948
1897,DEN,Eva Johanne Riise,1948
1897,DEN,Karen Margrethe Harup,1948
1897,DEN,Elvi Johanne Svendsen,1948
1898,NLD,Margot Marsman,1948
1898,NLD,Johanna Maria Termeulen,1948
1898,NLD,Irma Heijting-Schuhmacher,1948
1898,NLD,Marie-Louise Jean Linssen-Vaessen,1948
1899,GBR,Margaret Olive Wellington,1948
1899,GBR,Patricia Eleanor Nielsen,1948
1899,GBR,Lillian Preece,1948
1899,GBR,Margaret Therese Girvan,1948
1899,GBR,Catherine Gibson,1948
1899,GBR,Phyllis Margaret Linton,1948
1900,HUN,Zsuzsa Nador,1948
1900,HUN,Eva Szekely,1948
1900,HUN,Eva Novak-Gerard,1948
1900,HUN,Ilona Novak,1948
1900,HUN,Judith Temes,1948
1901,BRA,Maria Angelica Leao Da Costa,1948
1901,BRA,Edith Nogueira Da Gama Groba,1948
1901,BRA,Talita De Alencar Rodrigues,1948
1901,BRA,Piedade De Azevedo Coutinho,1948
1902,FRA,Gisele Vallerey,1948
1902,FRA,Josette Arene,1948
1902,FRA,Ginette Jany-Sendral,1948
1902,FRA,Colette Thomas,1948
1903,SWE,Gisela Thidholm,1948
1903,SWE,Ingegärd Fredin,1948
1903,SWE,Elisabeth Ahlgren,1948
1903,SWE,Marianne Lundquist,1948
1904,NED,Dina Willemina Jacoba Senff,1936
1905,NED,Hendrika Mastenbroek,1936
1906,USA,Alice W. Bridges,1936
1907,USA,Edith Motridge,1936
1908,DEN,Tove Brunnstrom Madsen,1936
1909,GBR,Lorna Frampton,1936
1910,GBR,Phyllis Harding,1936
1911,CAN,Irene Pirie-Milton,1936
1912,NED,Hendrika Mastenbroek,1936
1913,ARG,Jeanette Morven Campbell,1936
1914,GER,Gisela Arendt-Jacobs,1936
1915,NED,Willemyntje (Willy) Den Ouden,1936
1916,NED,Catharina (Tini) Willemina Wagner,1936
1917,USA,Mary Olive Mckean,1936
1918,USA,Katherine Louise Rawls,1936
1919,BEL,Jeanne De Rademaecker-Eyckmans,1936
1920,JPN,Hideko Maehata,1936
1921,GER,Martha Genenger,1936
1922,DEN,Inge Sörensen,1936
1923,GER,Hanni Hölzner,1936
1924,NED,Johanna Maria Elizabeth Waalberg,1936
1925,GBR,Doris Storey,1936
1926,NED,Jeanette Hermine Kastein,1936
1927,AUT,Elfriede Freudenreich,1936
1928,NED,Hendrika Mastenbroek,1936
1929,DEN,Ragnild Tove Hveger,1936
1930,USA,Lenore Kight-Wingard,1936
1931,USA,Mary Lou Petty,1936
1932,BRA,Piedade De Azevedo Coutinho,1936
1933,JPN,Kazue Kojima,1936
1934,DEN,Grethe Ortved Frederiksen,1936
1935,NED,Catharina (Tini) Willemina Wagner,1936
1936,NLD,Johanna Katarina Selbach,1936
1936,NLD,Willemyntje (Willy) Den Ouden,1936
1936,NLD,Catharina (Tini) Willemina Wagner,1936
1936,NLD,Hendrika Mastenbroek,1936
1936,NLD,Anna Petronella Timmermans,1936
1937,GER,Maria Magdalene Lohmar -Henze,1936
1937,GER,Ursula Pollack,1936
1937,GER,Ruth Halbsguth,1936
1937,GER,Gisela Arendt-Jacobs,1936
1937,GER,Ingeborg Schmitz,1936
1938,USA,Mary Olive Mckean,1936
1938,USA,Elizabeth Ryan,1936
1938,USA,Dorothy June Schiller,1936
1938,USA,Bernice Ruth Lapp,1936
1938,USA,Mavis Anne Freeman,1936
1938,USA,Katherine Louise Rawls,1936
1939,CAN,Phyllis Dewar,1936
1939,CAN,Margaret Anne Stone,1936
1939,CAN,Mary Christine Mcconkey,1936
1939,CAN,Moel Gertrude Oxenbury-Morrow,1936
1939,CAN,Irene Pirie-Milton,1936
1940,HUN,Agnes Biro,1936
1940,HUN,Boriska Sothy,1936
1940,HUN,Ilona Acs,1936
1940,HUN,Vera Harsanyi,1936
1940,HUN,Magda Lenkei,1936
1941,GBR,Zilpha Grant,1936
1941,GBR,Audrey Morris Mavis Hancock,1936
1941,GBR,Margery Hinton,1936
1941,GBR,Edna Tildesley Hughes,1936
1941,GBR,Olive L. Wadham,1936
1941,GBR,Margaret K. Jeffrey,1936
1942,DEN,Grethe Ortved Frederiksen,1936
1942,DEN,Eva Johanne Riise,1936
1942,DEN,Ragnild Tove Hveger,1936
1942,DEN,Tove Brunnstrom Madsen,1936
1942,DEN,Elvi Johanne Svendsen,1936
1943,USA,Eleanor Holm,1932
1944,AUS,Bonnie Mealing,1932
1945,GBR,Elizabeth Valerie Davies,1932
1946,GBR,Phyllis Harding,1932
1947,USA,Joan Mcsheehy,1932
1948,GBR,Margaret Joyce Cooper,1932
1949,BRA,Maria Emma Lenk-Zigler,1932
1950,NED,Willemyntje (Willy) Den Ouden,1932
1951,USA,Helene Madison,1932
1952,NED,Willemyntje (Willy) Den Ouden,1932
1953,USA,Eleanor Saville,1932
1954,USA,Josephine Mckim,1932
1955,AUS,Neville Frances Bult,1932
1956,RSA,Jenny Maakal,1932
1957,AUS,Clare Dennis,1932
1958,JPN,Hideko Maehata,1932
1959,DEN,Else Agnes Ella Jacobsen,1932
1960,GBR,Margery Hinton,1932
1961,USA,Margaret Hoffman,1932
1962,USA,Anne B. Govednik,1932
1963,USA,Jane Cadwell,1932
1964,RSA,Jenny Maakal,1932
1965,USA,Helene Madison,1932
1966,USA,Lenore Kight-Wingard,1932
1967,RSA,Jenny Maakal,1932
1968,GBR,Margaret Joyce Cooper,1932
1969,FRA,Yvonne Godard,1932
1970,USA,Norene Forbes,1932
1971,USA,Eleanor Saville,1932
1971,USA,Helene Madison,1932
1971,USA,Helen Eileen Johns,1932
1971,USA,Josephine Mckim,1932
1972,NLD,Maria Vierdag,1932
1972,NLD,Willemyntje (Willy) Den Ouden,1932
1972,NLD,Maria Petronella Oversloot,1932
1972,NLD,Cornelia Ladde,1932
1973,GBR,Elizabeth Valerie Davies,1932
1973,GBR,Edna Tildesley Hughes,1932
1973,GBR,Helen Gradwell Varcoe,1932
1973,GBR,Margaret Joyce Cooper,1932
1974,CAN,Irene Pirie-Milton,1932
1974,CAN,Ruth Kerr,1932
1975,JPN,Misao Yokota,1932
1975,JPN,Yukie Arata,1932
1975,JPN,Kazue Kojima,1932
1975,JPN,Hatsuko Morioka,1932
1976,NED,Maria Johanna Philipsen-Braun,1928
1977,GBR,Ellen Elizabeth King,1928
1978,GBR,Margaret Joyce Cooper,1928
1979,USA,Marion Ulmer Gilman,1928
1980,USA,Eleanor Holm,1928
1981,USA,Lisa A. Lindstrom,1928
1982,NZL,Ena Stockley,1928
1983,NED,Willy Den Turk,1928
1984,USA,Albina Lucy Osipowich,1928
1985,USA,Eleanor Saville,1928
1986,GBR,Margaret Joyce Cooper,1928
1987,GBR,Jean H. Mcdowall,1928
1988,USA,Susanne E. Laird,1928
1989,GER,Lotte Lehmann,1928
1990,HUN,Sarolta Stieber,1928
1991,GER,Dora Schönemann,1928
1992,GER,Hilde Schrader,1928
1993,NED,Mietje Baron,1928
1994,GER,Charlotte Mühe,1928
1995,DEN,Else Agnes Ella Jacobsen,1928
1996,USA,Margaret Hoffman,1928
1997,SWE,Brita Hazelius,1928
1998,POL,Fitzówna Fitzówna,1928
1999,USA,Martha Norelius,1928
2000,NED,Maria Johanna Philipsen-Braun,1928
2001,USA,Josephine Mckim,1928
2002,GBR,Sarah Gillow Marshal Stewart,1928
2003,RSA,Freddie Van Der Goes,1928
2004,GBR,Vera Tanner,1928
2005,IRL,Marguerite Dockrell,1928
2006,POL,Halina Iżycka,1928
2007,USA,Eleanor Saville,1928
2007,USA,Albina Lucy Osipowich,1928
2007,USA,Martha Norelius,1928
2007,USA,Josephine Mckim,1928
2007,USA,Adelaide T. Lambert,1928
2007,USA,Susanne E. Laird,1928
2008,GBR,Ellen Elizabeth King,1928
2008,GBR,Sarah Gillow Marshal Stewart,1928
2008,GBR,Margaret Joyce Cooper,1928
2008,GBR,Vera Tanner,1928
2009,ZAF,Rhoda Rennie,1928
2010,GER,Irmintraut Schneider,1928
2011,FRA,Anne A. Dupire,1928
2011,FRA,Marguerite M. Ledoux,1928
2011,FRA,Claire M. Horrent,1928
2012,NLD,Maria Johanna Philipsen-Braun,1928
2012,NLD,Maria Vierdag,1928
2013,USA,Sybil Bauer,1924
2014,GBR,Phyllis Harding,1924
2015,USA,Aileen Riggin,1924
2016,USA,Florence Chambers,1924
2017,TCH,Jarmila Müllerova,1924
2018,DEN,Rigmor Olsen,1924
2019,USA,Ethel Lackie,1924
2020,USA,Mariechen Wehselau,1924
2021,USA,Gertrude Ederle,1924
2022,GBR,Constance Mabel Jeans,1924
2023,GBR,Vera Tanner,1924
2024,FRA,Gilberte Mortier,1924
2025,NED,Mietje Baron,1924
2026,NED,Alida Cornelia Bolten,1924
2027,GBR,Lucille Morton,1924
2028,USA,Agnes Geraghty,1924
2029,GBR,Gladys Carson,1924
2030,SWE,Wivan Pettersson,1924
2031,GBR,Irene Gilbert,1924
2032,LUX,Laury Koster,1924
2033,SWE,Hjördis Töpel,1924
2034,NED,Mietje Baron,1924
2035,USA,Martha Norelius,1924
2036,USA,Helen Wainwright,1924
2037,USA,Gertrude Ederle,1924
2038,GBR,Doris Molesworth,1924
2039,NZL,Gwitha Shand,1924
2040,DEN,M. Hansen,1924
2041,USA,Mariechen Wehselau,1924
2041,USA,Ethel Lackie,1924
2041,USA,Gertrude Ederle,1924
2042,GBR,Constance Mabel Jeans,1924
2042,GBR,Grace Mac Kenzie,1924
2042,GBR,Florence Barker,1924
2042,GBR,Vera Tanner,1924
2043,SWE,Aina Berg,1924
2043,SWE,Wivan Pettersson,1924
2043,SWE,Gurli Ewerlund,1924
2043,SWE,Hjördis Töpel,1924
2044,DEN,Vibeke Möller,1924
2044,DEN,Karen Maud Rasmussen,1924
2044,DEN,Hedevig Rasmussen,1924
2044,DEN,Agnete Olsen,1924
2045,FRA,Gilberte Mortier,1924
2045,FRA,Ernestine Lebrun,1924
2046,NLD,Alida Cornelia Bolten,1924
2046,NLD,Maria Vierdag,1924
2046,NLD,Mietje Baron,1924
2047,USA,Ethelda Bleibtrey,1920
2048,USA,Irene Guest,1920
2049,USA,Frances Schroth,1920
2050,GBR,Constance Mabel Jeans,1920
2051,NZL,Violet Walrond,1920
2052,SWE,Jane Gylling,1920
2053,USA,Charlotte Boyle,1920
2054,USA,Irene Guest,1920
2054,USA,Ethelda Bleibtrey,1920
2054,USA,Frances Schroth,1920
2054,USA,Margaret Woodbridge,1920
2055,GBR,Constance Mabel Jeans,1920
2055,GBR,Charlotte Radcliffe,1920
2055,GBR,Grace Mac Kenzie,1920
2055,GBR,Hilda James,1920
2056,SWE,Emy Machnow,1920
2056,SWE,Karin Nilsson,1920
2056,SWE,Aina Berg,1920
2056,SWE,Jane Gylling,1920
2057,ANZ,Fanny Durack,1912
2058,ANZ,Mina Wylie,1912
2059,GBR,Jennie Fletcher,1912
2060,GER,Grete Rosenberg,1912
2061,GBR,Annie Speirs,1912
2062,GBR,Irene Steer,1912
2063,NOR,Aagot Normann,1912
2064,GBR,Irene Steer,1912
2064,GBR,Jennie Fletcher,1912
2064,GBR,Isabella Mary Moore,1912
2064,GBR,Annie Speirs,1912
2065,GER,Wally Dressel,1912
2065,GER,Louise Otto,1912
2065,GER,Grete Rosenberg,1912
2065,GER,Hermine Stindt,1912
2066,AUT,Margarete Adler,1912
2066,AUT,Bertha Zahourek,1912
2066,AUT,Josephine Sticker,1912
2066,AUT,Klara Milch,1912
2067,SWE,Greta Carlsson,1912
2067,SWE,Vera Thulin,1912
2067,SWE,Sonja Johnsson,1912
2067,SWE,Greta Johansson,1912
